MBID,SONG NAME,WRITER,Length
1,Lyra,Burnley,0.29
2,Feed the Wolf,Burnley,3.18
3,Red Cold River,Burnley,3.2
4,Tourniquet,Burnley,4.09
5,Psycho,Burnley,3.2
6,The Dark of You,Burnley,4.12
7,Down,Burnley,4.02
8,Torn in Two,Burnley,4.17
9,Blood,Burnley,3.09
10,Save Yourself,Burnley,3.06
11,Close Your Eyes,Burnley,4.01
12,Vega,Burnley,1.22
13,Dark,Burnley,2.1
14,Failure,Burnley,3.34
15,Angels Fall,Burnley,3.48
16,Breaking the Silence,Burnley,3.01
17,Hollow,Burnley,3.51
18,Close to Heaven,Burnley,4.09
19,Bury Me Alive,Burnley,4.04
20,Never Again,Burnley,3.43
21,The Great Divie,Burnley,4.12
22,Ashes of Eden,Burnley,4.53
23,Defeated,Burnley,3.25
24,Dawn,Burnley,1.52
25,Fade Away,Burnley,3.16
26,I Will Not Buy,Burnley,3.36
27,Crawl,Burnley,3.58
28,Give Me a Sign,Burnley,4.17
29,Hopeless,Burnley,3.2
30,What Lies Beneath,Burnley,3.34
31,Anthem of the Angels,Burnley,4.02
32,Lights Out,Burnley,3.33
33,Dear Agony,Burnley,4.18
34,Into the Nothing,Burnley,3.43
35,Without You,Burnley,4.18
36,Are You Ready,Disturbed,4.21
37,No More,Disturbed,3.52
38,A Reason to Fight,Disturbed,4.44
39,In Another Time,Disturbed,4.11
40,Stronger on Your Own,Disturbed,4.01
41,Hold On to Memories,Disturbed,5.03
42,Saviour of Nothing,Disturbed,4.12
43,Watch You Burn,Disturbed,4.2
44,The Best Ones Lie,Disturbed,4.02
45,Already Gone,Disturbed,4.28
46,The Eye of the Storm,Disturbed,1.2
47,Immortalized,Disturbed,4.17
48,The Vengeful One,Disturbed,4.12
49,Open Your Eyes,Disturbed,3.57
50,The Light,Disturbed,4.16
51,What Are You Waiting For,Disturbed,4.03
52,You’re Mine,Disturbed,4.55
53,Who,Disturbed,4.46
54,Save Our Last Goodbye,Disturbed,4.59
55,Fire It Up,Disturbed,4.05
56,The Sound of Silence,Disturbed,4.08
57,Never Wrong,Disturbed,3.33
58,Who Taught You How to Hate,Disturbed,4.57
59,Remnants,Disturbed,2.42
60,Asylum,Disturbed,4.36
61,The Infection,Disturbed,4.08
62,Warrior,Disturbed,3.24
63,Another Way to Die,Disturbed,4.13
64,Never Again,Disturbed,3.33
65,The Animal,Disturbed,4.13
66,Crucified,Disturbed,4.37
67,Serpentine,Disturbed,4.09
